By @skurfuerst Extbase and Fluid are on the #-Typo3 core list now	Typo3	Typo3	TYPO3
couldn't get breakfast at #JackintheBox; computers were down. #KolacheFactory was closed too. Our intrepid hero goes to work hungry.	KolacheFactory	Kolache Factory
Please make sure #moanmondays are @AngryBritain to make sure I see them - there's a few slipping through!	moanmondays	moan mondays
New interview about Wolfram|Alpha http://tr.im/in2l  Insanely cool. Can't wait for the launch in May  #wolframalpha #search #semantic-web	semantic	semantic
@reldred yes #babypunch is totally addictive	babypunch	baby punch
@Jintanut I'm still up for auction rofl. Don't make me floss  #flossylove	flossylove	flossy love
@scottrmcgrew *double butterfly jump into camel spin into double backflip flying leap HUGS* #mwah Love you!  #justsayin	justsayin	just sayin	just sayin'
#Logies Harold better win the Gold Logie haha or Adam Hills, or Rove  I hate Gretel Kileen, who ever hired her for that is an igneranous	Logies	Logies	logies
Playing #football3s and not winning	football3s	football 3s
@GirlsGoneChild Yes finish it, but the end won't be as good as the rest of it.    Glad I read it nevertheless.   #prosehos	prosehos	prose hos	prosehos
@ozdj Sheeeet!  Totally forgot about the Capitol Square Computer Treasure Trove!!! Bugger! It is closer to me than York St too  #blisters	blisters	blisters
Confession: I'm jealous of #homebirth -the idea has always intrigued me-but pg#5 was high risk & we were too worried.	homebirth	home birth
Plenty of room on flight 2 India. Got a row all 2 myself. #Continental won't let me move up 2 bus. cls ahead of me... totally open 2	Continental	Continental
@jennelsonlane Woo hoo! I love Derby parties! I just hope there won't be any drama like there was last year.  #kentuckyderby	kentuckyderby	kentucky derby
@ocicat_bengals I left iPhone on a table (at a bar. BIG mistake) & it was snatched up.  #iPhoneForAlonis  http://bit.ly/cpuBH	iPhoneForAlonis	iPhone For Alonis
@jonathanfelch even showed us the math formula that crashed Wall Street  #gr8conf	gr8conf	GR8Conf	gr8conf	gr8 conf
I'm so bored @rounduprussy has me at the #TWELVE by my self	TWELVE	TWELVE
@lovebig Thanks for the #follow friday love...Hope you have a great weekend!!	follow	follow
TODAY IS #nobitchassnessfriday! GIVE A HATER A HUG!!!!! retweet	nobitchassnessfriday	no bitchass-ness friday	no bitch assness friday	no bitchassness friday
@westleyl I liked the bread you brought at #openspacecode. And that's coming from a Frenchman!	openspacecode	openspacecode	open space code	OpenSpace code
watching new show called the phone, and last w3eek they called my hubby, but he missed the call   #thegreenteen	thegreenteen	the green teen
@medifastpr ...that the spinach had cream in it! I still ate it tho   that and the string beans. I was hungry. #medifast	medifast	medifast
Website plagiarism affects 10% of businesses #Geek #WebTech #News http://tinyurl.com/n8t7ql	Geek	Geek
All the best to Sami!   #Liverpool	Liverpool	Liverpool
Still no sign of @esnoeijs. 1 hour too late and counting  #phpvikinger	phpvikinger	php vikinger
oh, my. maid put a cup of coffee on my #xenocide	xenocide	xenocide
So sad the hotel's cappaccino machine is set for decaf  #campcourage	campcourage	camp courage
@DeanOuellette I don't know about outdoor sports all year. Golfing in August is not pleasant  #stillnotreadyfor100degreeweatherbutluvPhx	stillnotreadyfor100degreeweatherbutluvPhx	still not ready for 100 degree weather but luv Phx
just broke my newest #McFly cover  Clumsy me... it felt out of my hands... lucky there was no cd in it!	McFly	McFly
#commtell09 Patty Perkins, VP Desktop Video Manager of Wachovia is up next- I understand many #SharePoint opps are  happening there	SharePoint	SharePoint
Ate too much at the #LemonTree buffet!	LemonTree	Lemon Tree
@dwhelan I've wondered about rake to.  The client has made it clear .NET only, don't force devs to learn a new lang  #agile #ccnet	ccnet	ccnet	CCNet
@mandiengram The #hamthrax mask on your pic is crazy hilarious! I appreciate your humor.	hamthrax	Hamthrax	hamthrax
reading tweets about #PeopleBrowsr at the #140conf	PeopleBrowsr	people browsr	PeopleBrowsr
@lostburpclothe Thinking of you today! Wish I could be there walking for #maddie! A donation's just not the same as walking. Boo!	maddie	maddie
#sota09	sota09	sota 09
@stevehicks #sagepay - can't believe they have dropped everyone in it again	sagepay	sage pay
I suggest we have an #unfollow #monday on twitter, a day to cleanup your twitter timeline	unfollow	unfollow
it never fails. i work so hard towards something and finally thing it's going to happen, then i get fucked in the arse.   #london2009	london2009	london 2009
#charitytuesday buy @twrrl's app, quiktweet. It's quick. Not much else. Great for those stuck-at-a-red-light scenarios.  $0.99 > appstore	charitytuesday	charity tuesday
@kateboardman Don't sweat it -- turns out I won't be online as much as I'd hoped  Have a good one, everybody #ItsGrimUpNorth not	ItsGrimUpNorth	It's Grim Up North
Just now getting the ESC podcasts done, I'm slackin' off  #elementsc	elementsc	element sc
New #twares just posted. If only I had time to go to Switzerland  .	twares	twares
"Isn't she lovely? Isn't she beautiful?" Sorry Stevie, you're not really in a position to make that judgement  #steviewonder	steviewonder	Stevie wonder	stevie wonder
@subray put me right off my scrambled egg breakfast  #fartingloud	fartingloud	farting loud
http://twitpic.com/68e9c  @theswener. Empty beer at #beerfriday.	beerfriday	beer friday
Hey @jonasbrothers *type your question here* #jonaslive Joe whats your favorite jamba juice smoothie? .. mines strawberry wild	jonaslive	Jonas live	jonas live
@ManyaS @LightGroup Have a great week, see you at #bnblv in #vegas Pls let us know if anything else is happening.	vegas	vegas	Vegas
"tweetie can not be bought at the moment" ...  #iphone #appstore	appstore	appstore	app store
@BuddyThePuggy Poor Buddy, being teased by mini puggy  I think what you need is a #PUGHUG	PUGHUG	pug hug	PUG HUG
awwww look at this motherfucking POTUS  #nerdprom	nerdprom	nerd prom
#otalia paley center tribute to #guidinglight http://tinyurl.com/mzoxy5 wish i could go	otalia	otalia	Otalia
@amandafortier nooooo amanda i would *never* stand you up! @clockity was right, i totally fell asleep for HOURS   #girlcrush	girlcrush	girl crush
Aw. Torn ace of hearts  #Hunchback	Hunchback	Hunchback
Accident on corner of republic and judges. Avoid cresta  #trafficza	trafficza	traffic za
@WritingSpirit What's #writechat? I feel like I missed something!	writechat	writechat	WriteChat	write chat
http://tinyurl.com/44487e - Nice stuff! But I need it for C++  #textmate #codecompletion	codecompletion	code completion
@JonKress perhaps she will start including #magic in all of her tweets now too. BTW... you didn't write #magic in ur tweet to me.	magic	magic
@ChunLum Yes, since there were problems with Twitter refusing to change our avies, I figured we should postpone #cartoonavie weekend.	cartoonavie	cartoon avie
@danamlewis Thanks. I had not heard of this yet. I missed #barcampbham this year  but maybe I can make #HsvTweetup. Thanks 4 the heads up!	HsvTweetup	Hsv Tweetup
Wireless poor so my Mac is using Ethernet cable. Guess I'll be partying at #stc09 like it's 1999?  Off to Leadership Day (all day) soon.	stc09	stc09	stc 09
really depressing horrorscope for me today- I hope it doesn't turn out so sad of a day  #wishiwasinLA	wishiwasinLA	wish i was in LA	wish I was in LA
The drama had reached its scripted climax .. Show over   #Prabhakaran	Prabhakaran	Prabhakaran
Can someone tweet Lions announcement live? Don't have access to Sky Sports News in K3!  #lions #lions2009	lions2009	lions 2009	Lions 2009
