I'm kinda sleepy. might go and read #eclipse and then sleep.	eclipse	eclipse	Eclipse
well, f*#k. not looking good for iranian peeps.  damn it.	k	K	k
#pmqs is unsurprisingly rather rowdy this morning	pmqs	pmqs
Clobbered on thehead with 14" 2x4, ouch no good, may need stiches   #stupidaccident	stupidaccident	stupid accident
@andrewb I'm not sure if it's my cuppa, haven't seen it. Good way to save time!  #addictivetvshows #lost #outrageousfortune #etc	addictivetvshows	Addictive TV Shows
Feeling sad that #TCM channel is not available in regular cable package in Chicago. Have to pay additional. I'm gonna miss it badly	TCM	tcm
I don't understand how working professionals can do anything on Friday nights...I'm so tired  #WakingUpTooEarlyFail	WakingUpTooEarlyFail	waking up too early fail
Our last day - better hours in #NYC  Good morning #Manhattan! ?	NYC	NYC
@in_a_blink I need to buy a digital slr at some point... and i have no clue about any of that jazz... helllllllllp meeeeee  #helpme	helpme	help me
#fsck'ing 2TB  I don't like UFS... I want #slimnas for #freenas 0.7	slimnas	Slimnas
@steveagee: Nice #twistory idea. You wouldn't by any chance be willing to give our little project a plug, would you?  http://twhistory.com	twistory	twistory
i want to be a part of E3   why do us Aussies always get the short end of the stick !!  #e3xbox	e3xbox	E3 Xbox
@urbanfly heard yr boo: I think you have to get into the mind of those alcholics to answer that one #sadalcholics	sadalcholics	sad alcholics
BBQ Rib & Fried Chicken #Throwdown Rules: http://tiny.cc/pcSbI. Register, post by 6/26, follow & link to others, tweet & have FUN.	Throwdown	throw down	throwdown	Throwdown
@MSchechter Awww, thanks. Still feel really bad about that.   #carelessmistakeI'mstillkickingmyselfabout	carelessmistakeI	careless mistake I
#marsarmy pick one and stick to it	marsarmy	mars army
@RealtyLee + I just met. just a lovely person  #socStardom3. folks still grubbing. @jayberkowitz getting things just about started	socStardom3	socStardom3	soc stardom 3
Making my daddy's burgers literally. I am happy and hungry.  #myparentscookandfreezeitforme	myparentscookandfreezeitforme	my parents cook and freeze it for me
#MyFirstTime in a car accident wasnt with my own car       Sorry @leroyjabari!!! I've been much better with driving tho..lol	MyFirstTime	My First Time	my first time
